"District","Time","Age","Cases","Population"
"SUKABUMI",2021,"0-4",37,217189
"SUKABUMI",2021,"15-44",123,1338269
"SUKABUMI",2021,"45-99",44,756285
"SUKABUMI",2021,"5-14",77,450410
"SUKABUMI",2022,"0-4",44,215573
"SUKABUMI",2022,"15-44",151,1358080
"SUKABUMI",2022,"45-99",75,778305
"SUKABUMI",2022,"5-14",113,446897
"SUKABUMI",2023,"0-4",7,213958
"SUKABUMI",2023,"15-44",50,1377889
"SUKABUMI",2023,"45-99",30,800326
"SUKABUMI",2023,"5-14",26,443385
"SUMEDANG",2020,"0-4",56,84181
"SUMEDANG",2020,"15-44",344,522721
"SUMEDANG",2020,"45-99",153,369098
"SUMEDANG",2020,"5-14",154,176507
"SUMEDANG",2021,"0-4",160,83065
"SUMEDANG",2021,"15-44",601,523805
"SUMEDANG",2021,"45-99",231,375708
"SUMEDANG",2021,"5-14",337,175023
"SUMEDANG",2022,"0-4",255,81948
"SUMEDANG",2022,"15-44",929,524887
"SUMEDANG",2022,"45-99",433,382318
"SUMEDANG",2022,"5-14",569,173539
"SUMEDANG",2023,"0-4",168,80832
"SUMEDANG",2023,"15-44",593,525970
"SUMEDANG",2023,"45-99",277,388928
"SUMEDANG",2023,"5-14",270,172055
"TASIKMALAYA",2020,"0-4",11,144093
"TASIKMALAYA",2020,"15-44",102,850054
"TASIKMALAYA",2020,"45-99",38,578098
"TASIKMALAYA",2020,"5-14",28,292958
"TASIKMALAYA",2021,"0-4",4,142873
"TASIKMALAYA",2021,"15-44",23,859182
"TASIKMALAYA",2021,"45-99",12,592428
"TASIKMALAYA",2021,"5-14",8,288462
"TASIKMALAYA",2022,"0-4",24,141653
"TASIKMALAYA",2022,"15-44",137,868310
"TASIKMALAYA",2022,"45-99",82,606761
"TASIKMALAYA",2022,"5-14",76,283964
"TASIKMALAYA",2023,"0-4",6,140433
"TASIKMALAYA",2023,"15-44",43,877439
"TASIKMALAYA",2023,"45-99",16,621093
"TASIKMALAYA",2023,"5-14",23,279468
